"Volunteer" "Activity" "Variable" "Average"
"2" "7" "WALKING" "timeBodyaccMeanx" 0.275592961754386
"3" "7" "WALKING" "timeBodyaccMeany" -0.018653665345614
"4" "7" "WALKING" "timeBodyaccMeanz" -0.110912234947368
"5" "7" "WALKING" "timeBodyaccStdx" -0.327243240701754
"6" "7" "WALKING" "timeBodyaccStdy" -0.0772618561052631
"7" "7" "WALKING" "timeBodyaccStdz" 0.159631283261403
"8" "7" "WALKING" "timeGravityaccMeanx" 0.932566472280702
"9" "7" "WALKING" "timeGravityaccMeany" -0.159097003684211
"10" "7" "WALKING" "timeGravityaccMeanz" -0.160846924029807
"11" "7" "WALKING" "timeGravityaccStdx" -0.979851271403509
"12" "7" "WALKING" "timeGravityaccStdy" -0.969404155087719
"13" "7" "WALKING" "timeGravityaccStdz" -0.952159770526316
"14" "7" "WALKING" "timeBodyaccjerkMeanx" 0.0901462649192983
"15" "7" "WALKING" "timeBodyaccjerkMeany" 0.0184322723280702
"16" "7" "WALKING" "timeBodyaccjerkMeanz" -0.0210398551649123
"17" "7" "WALKING" "timeBodyaccjerkStdx" -0.346026226140351
"18" "7" "WALKING" "timeBodyaccjerkStdy" -0.0547448948245614
"19" "7" "WALKING" "timeBodyaccjerkStdz" -0.149488514397895
"20" "7" "WALKING" "timeBodygyroMeanx" 0.00228835208526316
"21" "7" "WALKING" "timeBodygyroMeany" -0.0837113724842105
"22" "7" "WALKING" "timeBodygyroMeanz" 0.0641104602035088
"23" "7" "WALKING" "timeBodygyroStdx" -0.503313517017544
"24" "7" "WALKING" "timeBodygyroStdy" -0.23109830545614
"25" "7" "WALKING" "timeBodygyroStdz" -0.396013535263158
"26" "7" "WALKING" "timeBodygyrojerkMeanx" -0.123654199751333
"27" "7" "WALKING" "timeBodygyrojerkMeany" -0.0447766029745614
"28" "7" "WALKING" "timeBodygyrojerkMeanz" -0.0495713093294737
"29" "7" "WALKING" "timeBodygyrojerkStdx" -0.21166729682807
"30" "7" "WALKING" "timeBodygyrojerkStdy" -0.174136410738596
"31" "7" "WALKING" "timeBodygyrojerkStdz" -0.458302971403509
"32" "7" "WALKING" "timeBodyaccmagMean" -0.0978090439438596
"33" "7" "WALKING" "timeBodyaccmagStd" -0.198554708385965
"34" "7" "WALKING" "timeGravityaccmagMean" -0.0978090439438596
"35" "7" "WALKING" "timeGravityaccmagStd" -0.198554708385965
"36" "7" "WALKING" "timeBodyaccjerkmagMean" -0.192948900438596
"37" "7" "WALKING" "timeBodyaccjerkmagStd" -0.027557329277193
"38" "7" "WALKING" "timeBodygyromagMean" -0.305959351403509
"39" "7" "WALKING" "timeBodygyromagStd" -0.19828316695614
"40" "7" "WALKING" "timeBodygyrojerkmagMean" -0.300022779964912
"41" "7" "WALKING" "timeBodygyrojerkmagStd" -0.0953401161070176
"42" "7" "WALKING" "frequencyBodyaccMeanx" -0.343048405789474
"43" "7" "WALKING" "frequencyBodyaccMeany" -0.0641564202736842
"44" "7" "WALKING" "frequencyBodyaccMeanz" 0.0385832252345614
"45" "7" "WALKING" "frequencyBodyaccStdx" -0.322034908070175
"46" "7" "WALKING" "frequencyBodyaccStdy" -0.143721823263158
"47" "7" "WALKING" "frequencyBodyaccStdz" 0.133316828089298
"48" "7" "WALKING" "frequencyBodyaccjerkMeanx" -0.383715797719298
"49" "7" "WALKING" "frequencyBodyaccjerkMeany" -0.123192887383684
"50" "7" "WALKING" "frequencyBodyaccjerkMeanz" -0.106490372892632
"51" "7" "WALKING" "frequencyBodyaccjerkStdx" -0.365314790947368
"52" "7" "WALKING" "frequencyBodyaccjerkStdy" -0.0431917460807018
"53" "7" "WALKING" "frequencyBodyaccjerkStdz" -0.190751539207018
"54" "7" "WALKING" "frequencyBodygyroMeanx" -0.318395104666667
"55" "7" "WALKING" "frequencyBodygyroMeany" -0.151966687436842
"56" "7" "WALKING" "frequencyBodygyroMeanz" -0.366733617894737
"57" "7" "WALKING" "frequencyBodygyroStdx" -0.563615256666667
"58" "7" "WALKING" "frequencyBodygyroStdy" -0.290859379017544
"59" "7" "WALKING" "frequencyBodygyroStdz" -0.463270018245614
"60" "7" "WALKING" "frequencyBodyaccmagMean" -0.151243649578947
"61" "7" "WALKING" "frequencyBodyaccmagStd" -0.351706780526316
"62" "7" "WALKING" "frequencyBodybodyaccjerkmagMean" -0.0384187298547368
"63" "7" "WALKING" "frequencyBodybodyaccjerkmagStd" -0.022138358
"64" "7" "WALKING" "frequencyBodybodygyromagMean" -0.192909765467895
"65" "7" "WALKING" "frequencyBodybodygyromagStd" -0.343894914947368
"66" "7" "WALKING" "frequencyBodybodygyrojerkmagMean" -0.155339855862632
"67" "7" "WALKING" "frequencyBodybodygyrojerkmagStd" -0.0841663774087719
"68" "5" "WALKING" "timeBodyaccMeanx" 0.27784234625
"69" "5" "WALKING" "timeBodyaccMeany" -0.0172850317482679
"70" "5" "WALKING" "timeBodyaccMeanz" -0.107741776464286
"71" "5" "WALKING" "timeBodyaccStdx" -0.294098534232143
"72" "5" "WALKING" "timeBodyaccStdy" 0.0767484028053571
"73" "5" "WALKING" "timeBodyaccStdz" -0.45702143625
"74" "5" "WALKING" "timeGravityaccMeanx" 0.972624959821429
"75" "5" "WALKING" "timeGravityaccMeany" -0.100440285303571
"76" "5" "WALKING" "timeGravityaccMeanz" 0.00247623628392857
"77" "5" "WALKING" "timeGravityaccStdx" -0.979348381428571
"78" "5" "WALKING" "timeGravityaccStdy" -0.961585474821429
"79" "5" "WALKING" "timeGravityaccStdz" -0.964580803928571
"80" "5" "WALKING" "timeBodyaccjerkMeanx" 0.0845888833571429
"81" "5" "WALKING" "timeBodyaccjerkMeany" -0.0163194101232143
"82" "5" "WALKING" "timeBodyaccjerkMeanz" 8.32159351785732e-05
"83" "5" "WALKING" "timeBodyaccjerkStdx" -0.302891024625
"84" "5" "WALKING" "timeBodyaccjerkStdy" -0.0910397428607143
"85" "5" "WALKING" "timeBodyaccjerkStdz" -0.612895318571429
